User_Location,Artisan_Location,Skill_Type,Availability,Scheduling_Preference,Artisan_Name
Taraba,Taraba,Event Planner,Not Available,On-Demand,Adetokunbo Adegbola
Oyo,Oyo,Tiler,Available,Advance,Oluwatoyin Adegbola
Gombe,Gombe,Caterer,Not Available,On-Demand,Obinna Okoye
Jigawa,Jigawa,Tiler,Available,Advance,Chinonso Onyeka
Benue,Benue,Shoe Cobbler,Not Available,Advance,Oluwatobi Ogunlana
Bauchi,Bauchi,Barber,Not Available,Advance,Sadiya Ali
Rivers,Rivers,Tailor,Not Available,On-Demand,Aisha Hassan
Kebbi,Kebbi,Dressmaker,Available,Advance,Fatima Yusuf
Enugu,Enugu,Plumber,Available,On-Demand,Nneka Ibe
Zamfara,Zamfara,Dressmaker,Not Available,On-Demand,Olufemi Ogunleye
Adamawa,Adamawa,Tiler,Not Available,On-Demand,Hauwa Abubakar
Imo,Imo,Interior Decorator,Available,On-Demand,Fatima Umar
Ondo,Ondo,Furniture Maker,Available,Advance,Sadiya Umar
Imo,Imo,Mechanic,Not Available,Advance,Adetokunbo Ojo
Ekiti,Ekiti,Graphic Designer,Available,Advance,Olumide Adebiyi
Enugu,Enugu,Furniture Maker,Available,Advance,Oluwatobi Adegbola
Benue,Benue,Photographer,Available,Advance,Uchechi Okafor
Jigawa,Jigawa,Interior Decorator,Not Available,On-Demand,Oluwatoyin Olawale
Anambra,Anambra,Plumber,Available,On-Demand,Obinna Eze
Oyo,Oyo,Photographer,Available,Advance,Oluwatobi Ajayi
Kwara,Kwara,Gardener,Not Available,On-Demand,Yusuf Ali
Yobe,Yobe,Barber,Not Available,On-Demand,Chukwudi Ibe
Adamawa,Adamawa,Tailor,Available,On-Demand,Chinonso Onyeka
Kebbi,Kebbi,Dressmaker,Available,On-Demand,Nneka Okeke
Rivers,Rivers,Painter,Not Available,Advance,Aisha Umar
Imo,Imo,Graphic Designer,Available,Advance,Obinna Ibe
Delta,Delta,Tailor,Not Available,On-Demand,Umar Yusuf
Plateau,Plateau,Makeup Artist,Available,On-Demand,Olumide Olawale
Ondo,Ondo,Photographer,Not Available,On-Demand,Babatunde Adegbola
Bayelsa,Bayelsa,Painter,Not Available,On-Demand,Adetokunbo Ogunlana
Borno,Borno,Graphic Designer,Not Available,On-Demand,Chukwudi Onyeka
Ekiti,Ekiti,Furniture Maker,Available,Advance,Chukwudi Onyeka
Lagos,Lagos,Painter,Available,On-Demand,Olufemi Ojo
Taraba,Taraba,Tiler,Not Available,Advance,Chidinma Onyeka
Sokoto,Sokoto,Photographer,Available,On-Demand,Obinna Okeke
Bauchi,Bauchi,Welder,Not Available,On-Demand,Olumide Ajayi
Ekiti,Ekiti,Barber,Available,On-Demand,Obinna Okeke
Imo,Imo,Painter,Not Available,On-Demand,Abubakar Hassan
Yobe,Yobe,Shoe Cobbler,Not Available,Advance,Olumide Ajayi
Sokoto,Sokoto,Carpenter,Available,On-Demand,Obinna Okafor
Katsina,Katsina,Interior Decorator,Available,On-Demand,Umar Muhammad
Borno,Borno,Welder,Available,Advance,Oluwatobi Ogunleye
Kaduna,Kaduna,Photographer,Not Available,On-Demand,Chukwudi Nwankwo
Nasarawa,Nasarawa,Barber,Available,Advance,Aliyu Muhammad
Abia,Abia,Graphic Designer,Not Available,On-Demand,Uchechi Nwankwo
Kebbi,Kebbi,Electrician,Available,On-Demand,Fatima Hassan
Borno,Borno,Tiler,Not Available,Advance,Aliyu Umar
Osun,Osun,Photographer,Not Available,Advance,Adetokunbo Ogunlana
Ebonyi,Ebonyi,Barber,Available,On-Demand,Umar Ibrahim
Kaduna,Kaduna,Dressmaker,Not Available,Advance,Chizoba Ibe
Anambra,Anambra,Tailor,Available,Advance,Aliyu Ibrahim
Abia,Abia,Welder,Not Available,Advance,Aliyu Abubakar
Kwara,Kwara,Dressmaker,Not Available,On-Demand,Olufemi Ogunleye
Sokoto,Sokoto,Carpenter,Available,On-Demand,Chizoba Okafor
Adamawa,Adamawa,Tiler,Not Available,On-Demand,Oluwatoyin Adegbola
Katsina,Katsina,Barber,Available,On-Demand,Chidinma Okeke
Kano,Kano,Caterer,Available,On-Demand,Obinna Okoye
Ogun,Ogun,Welder,Available,On-Demand,Sadiya Umar
Zamfara,Zamfara,Carpenter,Available,On-Demand,Adetokunbo Ogunlana
Taraba,Taraba,Welder,Available,On-Demand,Adetokunbo Ajayi
Ondo,Ondo,Makeup Artist,Available,Advance,Hauwa Abubakar
Lagos,Lagos,Painter,Not Available,Advance,Chinonso Ibe
Plateau,Plateau,Plumber,Available,Advance,Umar Ali
Kaduna,Kaduna,Photographer,Not Available,On-Demand,Ifeoma Onyeka
Taraba,Taraba,Furniture Maker,Available,On-Demand,Aisha Abubakar
Imo,Imo,Gardener,Available,Advance,Uchechi Okoye
Osun,Osun,Hairdresser,Available,On-Demand,Chizoba Okoye
Abia,Abia,Hairdresser,Available,Advance,Oluwatobi Adegbola
Enugu,Enugu,Furniture Maker,Not Available,On-Demand,Babatunde Olawale
Kwara,Kwara,Event Planner,Not Available,Advance,Ifeoma Eze
Niger,Niger,Painter,Available,Advance,Sadiya Hassan
Osun,Osun,Interior Decorator,Not Available,On-Demand,Fatima Abubakar
Benue,Benue,Gardener,Available,Advance,Yusuf Ibrahim
Ebonyi,Ebonyi,Interior Decorator,Not Available,On-Demand,Oluwakemi Ojo
Borno,Borno,Furniture Maker,Not Available,Advance,Sadiya Sani
Jigawa,Jigawa,Electrician,Available,Advance,Abubakar Umar
Imo,Imo,Tiler,Not Available,Advance,Fatima Sani
Yobe,Yobe,Welder,Available,On-Demand,Aliyu Abubakar
Adamawa,Adamawa,Photographer,Not Available,On-Demand,Umar Abubakar
Borno,Borno,Tiler,Available,Advance,Umar Muhammad
Bauchi,Bauchi,Hairdresser,Available,Advance,Uchechi Okafor
Yobe,Yobe,Tiler,Available,On-Demand,Olufemi Ajayi
Ebonyi,Ebonyi,Graphic Designer,Not Available,Advance,Aisha Muhammad
Ebonyi,Ebonyi,Graphic Designer,Not Available,On-Demand,Aisha Hassan
Niger,Niger,Painter,Not Available,On-Demand,Aisha Umar
Sokoto,Sokoto,Makeup Artist,Not Available,On-Demand,Babatunde Olawale
Oyo,Oyo,Interior Decorator,Not Available,On-Demand,Oluwatoyin Ogunlana
Bauchi,Bauchi,Dressmaker,Not Available,On-Demand,Nneka Eze
Bauchi,Bauchi,Gardener,Not Available,On-Demand,Oluwakemi Ogunlana
Ekiti,Ekiti,Caterer,Not Available,On-Demand,Abubakar Sani
Kogi,Kogi,Graphic Designer,Not Available,On-Demand,Uchechi Ibe
Kano,Kano,Electrician,Available,Advance,Adetokunbo Adebiyi
Akwa Ibom,Akwa Ibom,Mechanic,Available,Advance,Hauwa Abubakar
Akwa Ibom,Akwa Ibom,Tiler,Not Available,On-Demand,Chukwudi Okeke
Bauchi,Bauchi,Electrician,Not Available,On-Demand,Sadiya Ibrahim
Osun,Osun,Caterer,Available,On-Demand,Obinna Eze
Bayelsa,Bayelsa,Hairdresser,Available,On-Demand,Olumide Adegbola
Sokoto,Sokoto,Tailor,Available,Advance,Chizoba Eze
Kano,Kano,Mechanic,Available,Advance,Babatunde Adeyemi
Yobe,Yobe,Furniture Maker,Available,On-Demand,Chinonso Okoye
Kwara,Kwara,Dressmaker,Not Available,On-Demand,Oluwatobi Ojo
Plateau,Plateau,Tiler,Not Available,Advance,Uchechi Nwankwo
Borno,Borno,Carpenter,Available,On-Demand,Olufemi Adegbola
Kogi,Kogi,Electrician,Not Available,On-Demand,Chizoba Okeke
Adamawa,Adamawa,Graphic Designer,Not Available,On-Demand,Olufemi Ogunlana
Taraba,Taraba,Makeup Artist,Not Available,On-Demand,Aisha Sani
Bauchi,Bauchi,Carpenter,Not Available,On-Demand,Olufemi Ogunleye
Lagos,Lagos,Painter,Not Available,On-Demand,Chukwudi Okafor
Akwa Ibom,Akwa Ibom,Gardener,Available,On-Demand,Aliyu Sani
Enugu,Enugu,Welder,Available,Advance,Aliyu Ibrahim
Oyo,Oyo,Caterer,Available,On-Demand,Babatunde Ajayi
Nasarawa,Nasarawa,Electrician,Not Available,Advance,Olumide Adebiyi
Kwara,Kwara,Dressmaker,Available,On-Demand,Sadiya Abubakar
Delta,Delta,Interior Decorator,Available,Advance,Olufemi Ojo
Ondo,Ondo,Painter,Available,Advance,Sadiya Ali
Adamawa,Adamawa,Barber,Not Available,On-Demand,Uchechi Ibe
Jigawa,Jigawa,Dressmaker,Available,On-Demand,Yusuf Yusuf
Delta,Delta,Furniture Maker,Available,Advance,Oluwatobi Ajayi
Ekiti,Ekiti,Photographer,Not Available,Advance,Chinonso Okeke
Benue,Benue,Carpenter,Available,On-Demand,Chidinma Okoye
Edo,Edo,Plumber,Not Available,Advance,Oluwaseun Adebiyi
Ondo,Ondo,Caterer,Not Available,Advance,Sadiya Ibrahim
Kebbi,Kebbi,Makeup Artist,Available,On-Demand,Obinna Onyeka
Gombe,Gombe,Graphic Designer,Available,Advance,Oluwatobi Adeyemi
Sokoto,Sokoto,Tailor,Available,On-Demand,Yusuf Yusuf
Delta,Delta,Tailor,Not Available,Advance,Olumide Adeyemi
Enugu,Enugu,Electrician,Available,On-Demand,Sadiya Umar
Borno,Borno,Makeup Artist,Available,On-Demand,Sadiya Yusuf
Kano,Kano,Event Planner,Available,Advance,Hauwa Abubakar
Adamawa,Adamawa,Graphic Designer,Not Available,Advance,Olufemi Adegbola
Ebonyi,Ebonyi,Hairdresser,Not Available,Advance,Oluwatobi Adegbola
Nasarawa,Nasarawa,Tailor,Available,On-Demand,Chizoba Okoye
Anambra,Anambra,Dressmaker,Not Available,On-Demand,Oluwakemi Adegbola
Kwara,Kwara,Event Planner,Available,Advance,Chukwudi Eze
Ogun,Ogun,Mechanic,Not Available,Advance,Olumide Ojo
Cross River,Cross River,Carpenter,Available,On-Demand,Chizoba Onyeka
Kebbi,Kebbi,Carpenter,Not Available,On-Demand,Chinonso Eze
Ogun,Ogun,Mechanic,Not Available,Advance,Aisha Sani
Yobe,Yobe,Tailor,Not Available,Advance,Uchechi Okoye
Gombe,Gombe,Tiler,Not Available,Advance,Nneka Nwankwo
Nasarawa,Nasarawa,Photographer,Not Available,On-Demand,Nneka Ibe
Yobe,Yobe,Carpenter,Available,Advance,Aisha Muhammad
Ekiti,Ekiti,Shoe Cobbler,Not Available,On-Demand,Olumide Olawale
Abia,Abia,Photographer,Available,Advance,Uchechi Okafor
Borno,Borno,Makeup Artist,Available,Advance,Olumide Ajayi
Akwa Ibom,Akwa Ibom,Barber,Not Available,On-Demand,Uchechi Okeke
Osun,Osun,Dressmaker,Available,On-Demand,Abubakar Ibrahim
Bayelsa,Bayelsa,Furniture Maker,Not Available,On-Demand,Nneka Okafor
Borno,Borno,Graphic Designer,Not Available,On-Demand,Chinonso Okeke
Benue,Benue,Hairdresser,Available,Advance,Obinna Okafor
Ekiti,Ekiti,Tailor,Not Available,On-Demand,Umar Hassan
Gombe,Gombe,Hairdresser,Not Available,Advance,Obinna Okeke
Katsina,Katsina,Barber,Available,On-Demand,Ifeoma Nwankwo
Katsina,Katsina,Barber,Not Available,On-Demand,Obinna Nwankwo
Ebonyi,Ebonyi,Electrician,Not Available,On-Demand,Obinna Okeke
Benue,Benue,Makeup Artist,Available,On-Demand,Obinna Okafor
Oyo,Oyo,Event Planner,Available,Advance,Oluwatobi Adebiyi
Edo,Edo,Caterer,Available,On-Demand,Ifeoma Ibe
Zamfara,Zamfara,Carpenter,Not Available,On-Demand,Hauwa Umar
Osun,Osun,Tailor,Available,Advance,Oluwakemi Adegbola
Nasarawa,Nasarawa,Electrician,Available,On-Demand,Olufemi Ojo
Ondo,Ondo,Carpenter,Available,On-Demand,Olumide Olawale
Niger,Niger,Carpenter,Available,Advance,Hauwa Muhammad
Plateau,Plateau,Electrician,Not Available,On-Demand,Oluwatoyin Adeyemi
Abia,Abia,Interior Decorator,Available,Advance,Aisha Umar
Ogun,Ogun,Caterer,Available,On-Demand,Aisha Abubakar
Sokoto,Sokoto,Mechanic,Available,Advance,Umar Umar
Lagos,Lagos,Painter,Not Available,Advance,Oluwaseun Adebiyi
Imo,Imo,Photographer,Available,Advance,Oluwakemi Adeyemi
Plateau,Plateau,Barber,Available,Advance,Chidinma Okafor
Abia,Abia,Shoe Cobbler,Available,Advance,Obinna Okafor
Zamfara,Zamfara,Painter,Available,Advance,Abubakar Ibrahim
Borno,Borno,Plumber,Available,Advance,Ifeoma Onyeka
Kogi,Kogi,Welder,Available,On-Demand,Sadiya Muhammad
Akwa Ibom,Akwa Ibom,Dressmaker,Available,Advance,Oluwatobi Ojo
Benue,Benue,Photographer,Available,On-Demand,Yusuf Yusuf
Bayelsa,Bayelsa,Welder,Not Available,Advance,Olumide Ogunleye
Bauchi,Bauchi,Plumber,Available,Advance,Aliyu Muhammad
Gombe,Gombe,Event Planner,Not Available,Advance,Ifeoma Onyeka
Kano,Kano,Welder,Not Available,On-Demand,Abubakar Muhammad
Gombe,Gombe,Tiler,Available,Advance,Chizoba Okafor
Ebonyi,Ebonyi,Hairdresser,Available,On-Demand,Adetokunbo Ojo
Zamfara,Zamfara,Event Planner,Not Available,On-Demand,Chukwudi Okafor
Lagos,Lagos,Tiler,Available,Advance,Nneka Nwankwo
Osun,Osun,Plumber,Not Available,Advance,Oluwatobi Adeyemi
Niger,Niger,Tiler,Available,On-Demand,Oluwaseun Adebiyi
Nasarawa,Nasarawa,Electrician,Not Available,On-Demand,Yusuf Muhammad
Borno,Borno,Electrician,Available,Advance,Oluwatobi Adeyemi
Ekiti,Ekiti,Caterer,Not Available,Advance,Adetokunbo Ojo
Yobe,Yobe,Plumber,Available,On-Demand,Uchechi Ibe
Oyo,Oyo,Tailor,Available,Advance,Chukwudi Ibe
Benue,Benue,Hairdresser,Not Available,On-Demand,Umar Muhammad
Bauchi,Bauchi,Barber,Not Available,On-Demand,Oluwakemi Ajayi
Anambra,Anambra,Painter,Available,Advance,Oluwatoyin Adeyemi
Nasarawa,Nasarawa,Carpenter,Available,On-Demand,Olufemi Ajayi
Borno,Borno,Painter,Available,On-Demand,Yusuf Yusuf
Ondo,Ondo,Painter,Not Available,Advance,Ifeoma Onyeka
Benue,Benue,Mechanic,Available,On-Demand,Aisha Hassan
Ondo,Ondo,Photographer,Not Available,On-Demand,Olumide Ogunleye
Nasarawa,Nasarawa,Photographer,Not Available,On-Demand,Olufemi Adebiyi
Plateau,Plateau,Furniture Maker,Not Available,Advance,Yusuf Sani
Bayelsa,Bayelsa,Graphic Designer,Available,Advance,Aisha Muhammad
Taraba,Taraba,Photographer,Not Available,Advance,Olumide Adebiyi
Ondo,Ondo,Gardener,Not Available,On-Demand,Oluwatobi Ogunlana
Adamawa,Adamawa,Plumber,Not Available,On-Demand,Fatima Sani
Jigawa,Jigawa,Hairdresser,Available,On-Demand,Abubakar Ibrahim
Oyo,Oyo,Dressmaker,Not Available,Advance,Nneka Okafor
Ebonyi,Ebonyi,Tailor,Not Available,Advance,Olufemi Olawale
Ekiti,Ekiti,Dressmaker,Not Available,Advance,Chidinma Ibe
Kebbi,Kebbi,Painter,Not Available,Advance,Oluwaseun Ojo
Lagos,Lagos,Mechanic,Available,On-Demand,Olumide Ogunleye
Katsina,Katsina,Hairdresser,Not Available,Advance,Olumide Ogunleye
Zamfara,Zamfara,Shoe Cobbler,Available,On-Demand,Umar Yusuf
Bauchi,Bauchi,Shoe Cobbler,Not Available,Advance,Hauwa Ibrahim
Sokoto,Sokoto,Interior Decorator,Available,Advance,Oluwatobi Ajayi
Bauchi,Bauchi,Welder,Available,On-Demand,Hauwa Ali
Kebbi,Kebbi,Gardener,Not Available,On-Demand,Aliyu Hassan
Delta,Delta,Shoe Cobbler,Available,On-Demand,Chinonso Onyeka
Edo,Edo,Shoe Cobbler,Not Available,Advance,Fatima Muhammad
Gombe,Gombe,Barber,Available,On-Demand,Ifeoma Okafor
Enugu,Enugu,Tiler,Available,On-Demand,Aisha Umar
Kebbi,Kebbi,Interior Decorator,Available,Advance,Olumide Adebiyi
Yobe,Yobe,Tiler,Not Available,On-Demand,Babatunde Ogunlana
Kaduna,Kaduna,Carpenter,Not Available,Advance,Aliyu Hassan
Ogun,Ogun,Tiler,Available,Advance,Hauwa Ali
Bauchi,Bauchi,Barber,Available,Advance,Yusuf Sani
Taraba,Taraba,Plumber,Available,Advance,Hauwa Hassan
Nasarawa,Nasarawa,Tailor,Available,On-Demand,Hauwa Yusuf
Abia,Abia,Graphic Designer,Not Available,On-Demand,Chukwudi Ibe
Kebbi,Kebbi,Shoe Cobbler,Not Available,Advance,Chukwudi Okafor
Kano,Kano,Caterer,Not Available,Advance,Olumide Olawale
Anambra,Anambra,Painter,Not Available,On-Demand,Aisha Sani
Lagos,Lagos,Plumber,Available,Advance,Chizoba Ibe
Nasarawa,Nasarawa,Plumber,Available,On-Demand,Sadiya Abubakar
Cross River,Cross River,Hairdresser,Available,Advance,Olufemi Ogunlana
Plateau,Plateau,Graphic Designer,Not Available,Advance,Oluwatoyin Adebiyi
Imo,Imo,Barber,Available,Advance,Babatunde Olawale
Kogi,Kogi,Dressmaker,Not Available,Advance,Aisha Ibrahim
Zamfara,Zamfara,Graphic Designer,Available,On-Demand,Chukwudi Ibe
Adamawa,Adamawa,Caterer,Not Available,On-Demand,Obinna Okoye
Benue,Benue,Plumber,Not Available,On-Demand,Sadiya Abubakar
Ogun,Ogun,Mechanic,Not Available,On-Demand,Ifeoma Okeke
Lagos,Lagos,Furniture Maker,Available,On-Demand,Adetokunbo Ogunlana
Kogi,Kogi,Gardener,Available,Advance,Fatima Umar
Zamfara,Zamfara,Shoe Cobbler,Not Available,On-Demand,Hauwa Ibrahim
Kaduna,Kaduna,Photographer,Not Available,Advance,Oluwaseun Ogunleye
Kogi,Kogi,Caterer,Not Available,Advance,Adetokunbo Ogunlana
Ebonyi,Ebonyi,Photographer,Not Available,Advance,Aliyu Hassan
Kogi,Kogi,Makeup Artist,Not Available,On-Demand,Olumide Adebiyi
Ondo,Ondo,Makeup Artist,Available,Advance,Chinonso Okoye
Enugu,Enugu,Graphic Designer,Available,On-Demand,Oluwatobi Adebiyi
Plateau,Plateau,Interior Decorator,Not Available,On-Demand,Babatunde Olawale
Ekiti,Ekiti,Caterer,Not Available,On-Demand,Oluwatobi Adebiyi
Kebbi,Kebbi,Hairdresser,Not Available,On-Demand,Yusuf Sani
Plateau,Plateau,Interior Decorator,Not Available,Advance,Oluwaseun Adebiyi
Oyo,Oyo,Tiler,Available,On-Demand,Abubakar Ibrahim
Ondo,Ondo,Shoe Cobbler,Available,On-Demand,Oluwakemi Ogunleye
Ekiti,Ekiti,Caterer,Available,On-Demand,Oluwakemi Ojo
Osun,Osun,Caterer,Not Available,On-Demand,Oluwakemi Adebiyi
Taraba,Taraba,Caterer,Available,On-Demand,Uchechi Okeke
Kogi,Kogi,Painter,Available,Advance,Olumide Ogunlana
Kebbi,Kebbi,Electrician,Available,On-Demand,Chizoba Nwankwo
Kwara,Kwara,Barber,Available,Advance,Fatima Yusuf
Abia,Abia,Plumber,Available,Advance,Oluwakemi Adegbola
Jigawa,Jigawa,Shoe Cobbler,Available,On-Demand,Oluwaseun Adeyemi
Rivers,Rivers,Carpenter,Available,Advance,Olufemi Ogunlana
Kaduna,Kaduna,Dressmaker,Not Available,On-Demand,Hauwa Umar
Kano,Kano,Painter,Available,On-Demand,Yusuf Umar
Nasarawa,Nasarawa,Hairdresser,Available,Advance,Obinna Okoye
Ebonyi,Ebonyi,Welder,Available,Advance,Adetokunbo Adeyemi
Yobe,Yobe,Dressmaker,Not Available,Advance,Aliyu Hassan
Kwara,Kwara,Dressmaker,Available,Advance,Oluwatobi Ajayi
Bauchi,Bauchi,Mechanic,Not Available,Advance,Oluwaseun Ogunleye
Anambra,Anambra,Painter,Available,Advance,Oluwakemi Olawale
Bayelsa,Bayelsa,Welder,Not Available,On-Demand,Oluwaseun Adegbola
Ekiti,Ekiti,Welder,Not Available,On-Demand,Olufemi Adeyemi
Akwa Ibom,Akwa Ibom,Shoe Cobbler,Available,On-Demand,Ifeoma Eze
Yobe,Yobe,Graphic Designer,Not Available,On-Demand,Nneka Okeke
Borno,Borno,Dressmaker,Available,Advance,Oluwakemi Ojo
Oyo,Oyo,Carpenter,Not Available,On-Demand,Ifeoma Okoye
Jigawa,Jigawa,Photographer,Available,Advance,Oluwatobi Olawale
Kogi,Kogi,Shoe Cobbler,Available,Advance,Oluwakemi Adebiyi
Yobe,Yobe,Welder,Not Available,Advance,Obinna Okeke
Nasarawa,Nasarawa,Event Planner,Available,On-Demand,Olumide Adebiyi
Nasarawa,Nasarawa,Photographer,Not Available,On-Demand,Abubakar Sani
Akwa Ibom,Akwa Ibom,Gardener,Available,Advance,Oluwakemi Ajayi
Osun,Osun,Caterer,Not Available,Advance,Chukwudi Eze
Kogi,Kogi,Barber,Available,Advance,Obinna Okoye
Katsina,Katsina,Caterer,Available,Advance,Yusuf Umar
Nasarawa,Nasarawa,Interior Decorator,Not Available,On-Demand,Oluwatoyin Adeyemi
Plateau,Plateau,Hairdresser,Available,On-Demand,Chizoba Okoye
Gombe,Gombe,Graphic Designer,Not Available,On-Demand,Chizoba Okoye
Edo,Edo,Event Planner,Not Available,On-Demand,Chidinma Eze
Kebbi,Kebbi,Interior Decorator,Not Available,Advance,Oluwatoyin Adeyemi
Jigawa,Jigawa,Hairdresser,Not Available,On-Demand,Oluwaseun Olawale
Ebonyi,Ebonyi,Dressmaker,Available,On-Demand,Umar Sani
Taraba,Taraba,Mechanic,Not Available,On-Demand,Olufemi Olawale
Ogun,Ogun,Shoe Cobbler,Not Available,On-Demand,Ifeoma Okeke
Kwara,Kwara,Hairdresser,Available,On-Demand,Sadiya Ibrahim
Bayelsa,Bayelsa,Hairdresser,Available,On-Demand,Oluwakemi Ogunlana
Zamfara,Zamfara,Photographer,Available,Advance,Chinonso Nwankwo
Osun,Osun,Graphic Designer,Available,Advance,Oluwakemi Adeyemi
Lagos,Lagos,Event Planner,Available,Advance,Oluwatobi Adegbola
Gombe,Gombe,Mechanic,Not Available,On-Demand,Chizoba Nwankwo
Enugu,Enugu,Caterer,Not Available,On-Demand,Oluwatobi Adeyemi
Ogun,Ogun,Carpenter,Available,Advance,Babatunde Ogunleye
Ekiti,Ekiti,Plumber,Not Available,On-Demand,Chukwudi Okafor
Osun,Osun,Painter,Available,On-Demand,Olufemi Adeyemi
Osun,Osun,Tiler,Not Available,Advance,Sadiya Sani
Katsina,Katsina,Graphic Designer,Not Available,Advance,Adetokunbo Adeyemi
Bayelsa,Bayelsa,Event Planner,Not Available,Advance,Hauwa Ali
Ondo,Ondo,Dressmaker,Not Available,On-Demand,Chizoba Eze
Yobe,Yobe,Plumber,Not Available,Advance,Abubakar Yusuf
Akwa Ibom,Akwa Ibom,Barber,Available,On-Demand,Uchechi Okafor
Jigawa,Jigawa,Barber,Available,Advance,Nneka Okeke
Imo,Imo,Plumber,Not Available,On-Demand,Aisha Ali
Anambra,Anambra,Barber,Available,Advance,Uchechi Okafor
Ebonyi,Ebonyi,Welder,Available,On-Demand,Uchechi Okeke
Delta,Delta,Welder,Available,On-Demand,Ifeoma Okafor
Ondo,Ondo,Graphic Designer,Available,Advance,Oluwakemi Adegbola
Lagos,Lagos,Photographer,Available,Advance,Aisha Yusuf
Sokoto,Sokoto,Gardener,Not Available,Advance,Chizoba Nwankwo
Sokoto,Sokoto,Makeup Artist,Available,Advance,Chinonso Onyeka
Borno,Borno,Gardener,Available,On-Demand,Umar Abubakar
Oyo,Oyo,Shoe Cobbler,Available,On-Demand,Uchechi Okafor
Cross River,Cross River,Photographer,Not Available,Advance,Babatunde Ogunlana
Ondo,Ondo,Mechanic,Not Available,Advance,Adetokunbo Olawale
Enugu,Enugu,Welder,Not Available,Advance,Fatima Muhammad
Sokoto,Sokoto,Carpenter,Not Available,Advance,Obinna Okafor
Rivers,Rivers,Shoe Cobbler,Available,On-Demand,Adetokunbo Ajayi
Oyo,Oyo,Tailor,Available,On-Demand,Yusuf Hassan
Oyo,Oyo,Welder,Available,Advance,Ifeoma Okeke
Oyo,Oyo,Furniture Maker,Not Available,Advance,Umar Hassan
Niger,Niger,Barber,Available,On-Demand,Ifeoma Okoye
Taraba,Taraba,Tailor,Not Available,On-Demand,Oluwatobi Ogunlana
Kano,Kano,Dressmaker,Available,Advance,Oluwaseun Ajayi
Lagos,Lagos,Furniture Maker,Not Available,On-Demand,Olufemi Adebiyi
Nasarawa,Nasarawa,Event Planner,Available,Advance,Olufemi Ogunlana
Zamfara,Zamfara,Plumber,Available,Advance,Oluwatobi Adebiyi
Delta,Delta,Interior Decorator,Not Available,On-Demand,Chizoba Okafor
Ekiti,Ekiti,Hairdresser,Not Available,On-Demand,Sadiya Sani
Niger,Niger,Makeup Artist,Available,On-Demand,Obinna Onyeka
Ebonyi,Ebonyi,Dressmaker,Available,Advance,Babatunde Ogunleye
Kogi,Kogi,Barber,Not Available,Advance,Adetokunbo Adeyemi
Anambra,Anambra,Tailor,Available,Advance,Babatunde Ogunlana
Taraba,Taraba,Plumber,Not Available,On-Demand,Aisha Yusuf
Osun,Osun,Mechanic,Not Available,Advance,Oluwatoyin Ogunlana
Imo,Imo,Plumber,Available,Advance,Aliyu Yusuf
Ondo,Ondo,Gardener,Available,On-Demand,Obinna Okoye
Gombe,Gombe,Mechanic,Available,On-Demand,Adetokunbo Adebiyi
Anambra,Anambra,Makeup Artist,Not Available,Advance,Hauwa Yusuf
Lagos,Lagos,Shoe Cobbler,Not Available,Advance,Aliyu Muhammad
Imo,Imo,Caterer,Not Available,On-Demand,Aliyu Sani
Kano,Kano,Tiler,Not Available,Advance,Umar Hassan
Oyo,Oyo,Painter,Available,On-Demand,Aliyu Ali
Adamawa,Adamawa,Makeup Artist,Available,On-Demand,Olufemi Olawale
Yobe,Yobe,Tailor,Not Available,On-Demand,Uchechi Eze
Benue,Benue,Hairdresser,Available,On-Demand,Obinna Okoye
Nasarawa,Nasarawa,Tiler,Available,On-Demand,Oluwatoyin Adegbola
Kogi,Kogi,Tailor,Available,Advance,Fatima Sani
Bauchi,Bauchi,Interior Decorator,Not Available,Advance,Ifeoma Okoye
Rivers,Rivers,Interior Decorator,Not Available,Advance,Uchechi Onyeka
Kogi,Kogi,Caterer,Not Available,Advance,Chukwudi Okeke
Abia,Abia,Plumber,Not Available,Advance,Babatunde Adebiyi
Ekiti,Ekiti,Welder,Available,On-Demand,Oluwatobi Ogunlana
Zamfara,Zamfara,Plumber,Not Available,Advance,Yusuf Yusuf
Lagos,Lagos,Gardener,Available,On-Demand,Umar Umar
Ebonyi,Ebonyi,Interior Decorator,Available,Advance,Chukwudi Onyeka
Ogun,Ogun,Makeup Artist,Not Available,Advance,Sadiya Hassan
Abia,Abia,Dressmaker,Not Available,Advance,Oluwaseun Ogunlana
Benue,Benue,Photographer,Not Available,Advance,Ifeoma Onyeka
Borno,Borno,Makeup Artist,Available,Advance,Umar Yusuf
Kogi,Kogi,Photographer,Available,On-Demand,Babatunde Ogunlana
Imo,Imo,Interior Decorator,Not Available,On-Demand,Oluwatoyin Adebiyi
Ogun,Ogun,Interior Decorator,Available,Advance,Umar Muhammad
Plateau,Plateau,Dressmaker,Not Available,Advance,Oluwakemi Ojo
Kaduna,Kaduna,Makeup Artist,Not Available,On-Demand,Chukwudi Onyeka
Taraba,Taraba,Tailor,Available,Advance,Olumide Adegbola
Taraba,Taraba,Plumber,Available,On-Demand,Hauwa Ibrahim
Plateau,Plateau,Shoe Cobbler,Not Available,Advance,Oluwatoyin Adebiyi
Ogun,Ogun,Event Planner,Not Available,Advance,Olufemi Olawale
Adamawa,Adamawa,Makeup Artist,Available,On-Demand,Yusuf Abubakar
